動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
かかわる,かかわる,,メーカー各社,自動詞,,,F,基本設計,,ー,メーカー各社が通信利用型のシステムを設計する際に、本書を参照すればＡＳＶにおける検討結果がわかるように、支援の考え方、システムの概念、システム定義、通信コンテンツ、システム設計時に留意すべき事項など、基本設計にかかわるあらゆる事項が記載された文書。,,カラ,,,
規定する,きていする,,"考え方 [1]
仕様 [2]
要件 [3]
要求 [4]",,"


","


",ー,"
ACC [2]

",,ー,"[1] ACCに求められる仕様（制動力最大値、設定車間時間、表示、オーバーライドの考え方、など）が規定されている。
[2] ACCに求められる仕様が規定されている。
[3] HMI瞬灯に関する要件が規定されている。
[4] ここでは、商品性確保や効果を出すための基本的な考え方・コンセプトから定義される要求と、システム外部から規定される要求（法規など）を記載する。","


","ニ [1]
カラ [2]
ニ [3]
ニ,カラ [4]",,,
診断する,しんだんする,,手順,,故障,,T,,,F,無線通信の故障を診断できる手順を修理書に記載すること。,,"ニ,カラ",,,
避ける,さける,,,,混同,,T,,,F,「通信利用車間制御」と「C-ACC」は、ほぼ同義で扱われるが、「C-ACC」の言葉が、「C-ACC制御」と「C-ACCモード」で意味が異なって捉えられることがあり、混同を避けるため「通信利用車間制御」を用いることとする。,,ニ,,,
発生する,はっせいする,,"加減速 [1]
加減速 [2]
追従遅れ [3]

条件 [5]
異常 [6]
自車 [7]
イベント [8]
追従遅れ [9]
ちらつき [10]
通信途絶 [11]
異常 [12]
異常 [13]
先行車 [14]
自車 [15]
",自動詞,"





加減速量 [7]






加減速 [14]
加速度 [15]
加減速度 [16]","














",F,"




入力情報 [6]









自車 [16]",,ー,"[1] 従来のACCシステムの追従性能では、追従遅れから生じるオーバーシュート（加速しすぎ、または減速しすぎ）で、無駄な加減速が発生していたのに対し、本システムは追従性能が向上し、先行車の加減速に対して無駄な加減速が発生することなく、燃費向上と渋滞緩和に適した車間制御を実現する。
[2] 従来のACCシステムの追従性能では、追従遅れから生じるオーバーシュート（加速しすぎ、または減速しすぎ）で、無駄な加減速が発生していたのに対し、本システムは追従性能が向上し、先行車の加減速に対して無駄な加減速が発生することなく、燃費向上と渋滞緩和に適した車間制御を実現する。
[3] 従来のACCシステムでは、レーダの応答性能の限界により、先行車の加減速に対する追従遅れが発生していた（約1.0～1.5s）。
[4] ■渋滞緩和への効果先行車の加減速に対し、反応遅れなく適切な加減速をし、先行車の加速度・速度変動を後続車で減衰することができるため、追従遅延から発生する減速ショックウェーブ（渋滞発生の原因）を防ぐことが可能となる。
[5] C-ACC制御中において、ACCシステムが制御中断する条件が発生した場合（センサ故障など）は、C-ACCも制御を中断する。
[6] 無線通信からの入力情報に異常が発生した場合は、C-ACCシステムを動作させないこと。
[7] 他システムと目標駆動力の調停を終えた後のパワトレ・ブレーキでの要求値を用いて、本処理を行うことで、自車が最終的に発生させようとしている加減速量を演算している。
[8] 下記のいずれかのイベントが発生したとき
[9] ・レーダの値から要求加速度を算出する方法は、フィードバック制御となり追従遅れが発生する。
[10] ①前方　/　②周辺　/　③後方の表示の切り替え時に、ちらつきが発生しないこと。
[11] 一旦通信途絶が発生した車両は、一定時間（1秒）表示しない
[12] 無線通信部に異常が発生したとき、警告音と表示でドライバに知らせる
[13] 異常が発生した原因が分かるような情報をシステム内に残すこと
[14] 先行車が発生させる加減速の量（要求加速度）を計算する。
[15] 自車が発生させようとしている加速度を計算する
[16] 自車に発生させようとしている加減速度を計算する","














","ニ,デ,デ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
カラ [6]
ニ,デ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
ニ,カラ [11]
ニ,カラ [12]
ニ,カラ [13]
ニ,カラ [14]
ニ,カラ [15]
カラ [16]",,,
割り込む,わりこむ,,,,,,,,,,ミリ波認識結果<<推定値のとき、「割り込み不確定」状態とする,,"ニ,カラ",,,
入れ替わる,いれかわる,,先行車,自動詞,,,F,,,,通信先行車特定中に、その先行車が入れ替わっていないことを確かめる。,,"ニ,カラ",,,
活用する,かつようする,,,,本書,,,,,,本書を整備・活用することで下記を実現し、システム開発の競争力を高めて「いいクルマづくり」に貢献する。,,ニ,,,
わかる,わかる,,"検討結果 [1]
検討過程 [2]
車両 [3]",自動詞,"

","

",,"

",,,"[1] メーカー各社が通信利用型のシステムを設計する際に、本書を参照すればＡＳＶにおける検討結果がわかるように、支援の考え方、システムの概念、システム定義、通信コンテンツ、システム設計時に留意すべき事項など、基本設計にかかわるあらゆる事項が記載された文書。
[2] 検討過程がわかるよう、項目は残すが、トレース対象外であるため、NTR（Non　Traced　Requirement）としてIDを付与しておく。
[3] 周辺に存在する、通信利用車間制御可能な車両がわかること","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
抵触する,ていしょくする,,,,,,F,法規,,ー,他国で使用された場合において、現地での法規に抵触しないこと。,,カラ,,,
加えること,くわえること,,,,処理,,T,,,ー,FF要求加速度に処理を加えることなく、後段（要求加速度調停）に出力する。,,"ニ,カラ",,,
把握する,はあくする,,,,既存機能,,T,,,F,・既存機能を把握しながら効率的な機能開発（Ｆ）・機能追加時の影響範囲を理解してスムーズな号口移行を促進（F、D）,,"ニ,カラ",,,
取得する,しゅとくする,,"





",,"情報 [1]
情報 [2]
走行情報 [3]
先行車速度 [4]
時系列データ [5]
時系列データ [6]
先行車 [7]","





",T,"





",,F,"[1] 自車の位置（GPSより取得）や、速度・加速度等、自車の情報を取得する。
[2] 自車の位置（GPSより取得）や、速度・加速度等、自車の情報を取得する部分。
[3] 車車間通信で先行車の走行情報が取得できないときは、自動でACC制御に切り替わるようにする。
[4] 車車間通信で取得した先行車速度の自車進行方向成分と、自車のミリ波から算出した先行車速度が範囲内に入っていること範囲は、通信遅延による速度の変化、ｾﾝｼﾝｸﾞ誤差の各見積もりから決定
[5] 車車間通信で取得した先行車速度の時系列データと、ミリ波から算出した先行車速度の時系列データが合致していると判定できること
[6] 車車間通信で取得した先行車速度の時系列データ（30秒）と、ミリ波から算出した先行車速度の時系列データが合致していると判定できること
[7] 　　　-　正常状態　・・・先行車の特定が確実である場合に、車車間通信で取得した先行車の加減速に応じて、自車も加減速させる制御。","





","ニ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,デ,カラ [4]
ニ,デ,カラ [5]
ニ,デ,カラ [6]
ニ,デ,カラ [7]",,,
受信する,じゅしんする,,"









レーダー [11]",,"（要求）加速度情報 [1]
情報 [2]
位置情報 [3]
走行情報 [4]

速度情報 [6]
情報 [7]
通信データ [8]
通信データ [9]
データ [10]
データ [11]","









",ー,"






（仮：0.5s [8]


",,ー,"[1] 車車間通信データを用いて先行車の（要求）加速度情報を受信し、自車に即時に反映させることで、追従遅れを抑えることができ、先行車に応答性よく追従できる。
[2] 後続車から送られてくる情報を受信する。
[3] 通信利用車間制御に必要な先行車の情報（速度、加速度、位置情報、など）を、先行車から受信する。
[4] 追従性を向上するため、先行車の走行情報を電波による車車間通信で受信する。
[5] また、データの受信状態（ex.　連続的に受信できているか、連続的な途絶の直後でないか）に応じてデータの有効/無効を判定する処理。
[6] 通信利用車間制御中に、先行車の速度情報を受信し、誤った捕捉をしていないかを監視する処理
[7] 具体的には、車車間通信が可能な車両から位置・速度の情報を受信し、一定の条件を満たした車両を最大８台抽出する。
[8] 通信データが連続的（仮：0.5s以上）に受信できていること。
[9] 一旦、通信途絶した候補車から、再度通信データを受信した場合には、しばらくの間は、候補車として抽出しない。
[10] 車車間通信で受信したデータと、自車のミリ波レーダやGPSデータをもとに、下記条件を全て満たしていること
[11] レーダーが先行車を新たに検知する前から有効なデータを受信中であるか、または受信しているデータのIDが前回特定したものと同一である","









","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,デ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
カラ [8]
ニ,カラ [9]
ニ,デ,カラ [10]
ニ,カラ [11]",,,
